12-24-2019,20:27:42,350,424,OFF
12-24-2019,20:28:43,350,7,ON
12-24-2019,20:29:43,350,514,OFF
12-24-2019,20:30:44,350,425,OFF
12-24-2019,20:31:44,350,193,ON
12-24-2019,20:32:45,350,477,OFF
12-24-2019,20:33:45,350,411,OFF
12-24-2019,20:34:46,350,368,OFF
12-24-2019,20:35:46,350,360,OFF
12-24-2019,20:36:47,350,376,OFF
12-24-2019,20:37:47,350,361,OFF
12-24-2019,20:38:47,350,0,ON
12-24-2019,20:39:48,350,112,ON
12-24-2019,20:40:49,350,237,ON
12-24-2019,20:41:49,350,94,ON
12-24-2019,20:42:50,350,89,ON
12-24-2019,20:43:50,350,88,ON
12-24-2019,20:44:51,350,89,ON
12-24-2019,20:45:52,350,2,ON
12-24-2019,20:46:52,350,88,ON
12-24-2019,20:47:53,350,86,ON
12-24-2019,20:48:53,350,88,ON
12-24-2019,20:49:54,350,87,ON
12-24-2019,20:50:54,350,3,ON
12-24-2019,20:51:55,350,87,ON
12-24-2019,20:52:55,350,88,ON
12-24-2019,20:53:56,350,86,ON
12-24-2019,20:54:56,350,89,ON
12-24-2019,20:55:57,350,1,ON
12-24-2019,20:56:57,350,89,ON
12-24-2019,20:57:58,350,92,ON
12-24-2019,20:58:59,350,86,ON
12-24-2019,20:59:59,350,88,ON
12-24-2019,21:01:00,350,1,ON
12-24-2019,21:02:01,350,87,ON
12-24-2019,21:03:01,350,88,ON
12-24-2019,21:04:02,350,88,ON
12-24-2019,21:05:02,350,88,ON
12-24-2019,21:06:03,350,1,ON
12-24-2019,21:07:04,350,88,ON
12-24-2019,21:08:04,350,88,ON
12-24-2019,21:09:05,350,88,ON
12-24-2019,21:10:05,350,88,ON
12-24-2019,23:15:32,350,697,OFF
12-24-2019,23:16:32,350,317,ON
12-24-2019,23:17:33,350,484,OFF
12-24-2019,23:18:33,350,367,OFF
12-24-2019,23:19:34,350,372,OFF
12-24-2019,23:20:34,350,28,ON
12-24-2019,23:21:35,350,129,ON
12-25-2019,07:16:50,350,1024,OFF
12-25-2019,07:17:50,350,1024,OFF
12-25-2019,07:18:51,350,1024,OFF
12-25-2019,07:19:51,350,1024,OFF
12-25-2019,07:20:52,350,1024,OFF
12-25-2019,07:21:53,350,1024,OFF
12-25-2019,07:22:53,350,1024,OFF
12-25-2019,07:23:54,350,1024,OFF
12-25-2019,07:24:54,350,1024,OFF
